action,newObservation,reward,observation,qValue
0,-0.5988601748433499$-0.0004435659909240807,-1.0,-0.5984166088524258$0.0,-31.29597
0,-0.5997440640223165$-0.0008838891789666313,-1.0,-0.5988601748433499$-0.0004435659909240807,-31.303535
0,-0.601061817451636$-0.0013177534293194485,-1.0,-0.5997440640223165$-0.0008838891789666313,-31.292788
0,-0.6028038131760681$-0.0017419957244321537,-1.0,-0.601061817451636$-0.0013177534293194485,-31.287525
0,-0.6049573453478342$-0.002153532171766092,-1.0,-0.6028038131760681$-0.0017419957244321537,-31.2878
0,-0.6075067286887261$-0.002549383340891986,-1.0,-0.6049573453478342$-0.002153532171766092,-31.293606
0,-0.6104334273809068$-0.0029266986921806033,-1.0,-0.6075067286887261$-0.002549383340891986,-31.30489
0,-0.6137162072315284$-0.0032827798506215936,-1.0,-0.6104334273809068$-0.0029266986921806033,-31.321167
0,-0.617331309702898$-0.0036151024713695426,-1.0,-0.6137162072315284$-0.0032827798506215936,-31.33949
0,-0.6212526461434578$-0.00392133644055981,-1.0,-0.617331309702898$-0.0036151024713695426,-31.362404
0,-0.6254520103012565$-0.0041993641577987425,-1.0,-0.6212526461434578$-0.00392133644055981,-31.389744
0,-0.6298993069585459$-0.004447296657289363,-1.0,-0.6254520103012565$-0.0041993641577987425,-31.421305
0,-0.6345627943026797$-0.004663487344133806,-1.0,-0.6298993069585459$-0.004447296657289363,-31.456865
0,-0.6394093374543669$-0.004846543151687239,-1.0,-0.6345627943026797$-0.004663487344133806,-31.484222
0,-0.644404670419316$-0.004995332964949152,-1.0,-0.6394093374543669$-0.004846543151687239,-31.505898
0,-0.6495136636224539$-0.0051089932031377966,-1.0,-0.644404670419316$-0.004995332964949152,-31.530792
0,-0.6547005941327897$-0.005186930510335821,-1.0,-0.6495136636224539$-0.0051089932031377966,-31.524672
0,-0.6599294156970853$-0.005228821564295563,-1.0,-0.6547005941327897$-0.005186930510335821,-31.463772
0,-0.6651640257745922$-0.005234610077506962,-1.0,-0.6599294156970853$-0.005228821564295563,-31.403889
2,-0.6683685269030711$-0.0032045011284788896,-1.0,-0.6651640257745922$-0.005234610077506962,-31.33957
2,-0.6695210683216732$-0.0011525414186020918,-1.0,-0.6683685269030711$-0.0032045011284788896,-31.270187
2,-0.6686138147802467$0.0009072535414264677,-1.0,-0.6695210683216732$-0.0011525414186020918,-31.242363
2,-0.6656529329470992$0.0029608818331475473,-1.0,-0.6686138147802467$0.0009072535414264677,-31.245745
2,-0.6606586022140213$0.00499433073307789,-1.0,-0.6656529329470992$0.0029608818331475473,-31.173304
2,-0.6536650445409575$0.0069935576730638,-1.0,-0.6606586022140213$0.00499433073307789,-31.102139
2,-0.6447205561532813$0.008944488387676284,-1.0,-0.6536650445409575$0.0069935576730638,-30.906754
2,-0.6338875131529516$0.010833043000329756,-1.0,-0.6447205561532813$0.008944488387676284,-30.584194
2,-0.621242314201166$0.012645198951785532,-1.0,-0.6338875131529516$0.010833043000329756,-30.258373
2,-0.6068752171549195$0.014367097046246495,-1.0,-0.621242314201166$0.012645198951785532,-29.931696
2,-0.590890023643162$0.015985193511757565,-1.0,-0.6068752171549195$0.014367097046246495,-29.606617
0,-0.5754035666939881$0.015486456949173954,-1.0,-0.590890023643162$0.015985193511757565,-29.863792
2,-0.5585301360157862$0.016873430678201854,-1.0,-0.5754035666939881$0.015486456949173954,-29.640192
0,-0.542395199382721$0.016134936633065172,-1.0,-0.5585301360157862$0.016873430678201854,-29.985758
2,-0.5251193642693045$0.017275835113416512,-1.0,-0.542395199382721$0.016134936633065172,-29.921307
2,-0.5068321247804092$0.018287239488895334,-1.0,-0.5251193642693045$0.017275835113416512,-29.935863
2,-0.48767058215303644$0.019161542627372723,-1.0,-0.5068321247804092$0.018287239488895334,-29.976555
2,-0.46777797953404676$0.019892602618989667,-1.0,-0.48767058215303644$0.019161542627372723,-29.908363
2,-0.4473020788537754$0.020475900680271376,-1.0,-0.46777797953404676$0.019892602618989667,-30.060783
0,-0.4283934199272373$0.018908658926538115,-1.0,-0.4473020788537754$0.020475900680271376,-30.25682
1,-0.41018913253517636$0.01820428739206094,-1.0,-0.4283934199272373$0.018908658926538115,-30.555725
0,-0.39381910241176915$0.016370030123407216,-1.0,-0.41018913253517636$0.01820428739206094,-30.631088
0,-0.37939801475165874$0.014421087660110417,-1.0,-0.39381910241176915$0.016370030123407216,-30.731678
0,-0.36702501402645266$0.012373000725206095,-1.0,-0.37939801475165874$0.014421087660110417,-30.843945
0,-0.3567836077364531$0.010241406289999543,-1.0,-0.36702501402645266$0.012373000725206095,-30.938976
0,-0.348741742589435$0.008041865147018094,-1.0,-0.3567836077364531$0.010241406289999543,-30.995935
2,-0.3409519819931762$0.007789760596258792,-1.0,-0.348741742589435$0.008041865147018094,-30.964256
2,-0.33346454701112666$0.007487434982049546,-1.0,-0.3409519819931762$0.007789760596258792,-30.892246
2,-0.3263270395953468$0.007137507415779864,-1.0,-0.33346454701112666$0.007487434982049546,-30.82327
2,-0.31958420326871956$0.006742836326627241,-1.0,-0.3263270395953468$0.007137507415779864,-30.76226
2,-0.3132777204199504$0.006306482848769188,-1.0,-0.31958420326871956$0.006742836326627241,-30.699703
2,-0.30744604444317647$0.005831675976773892,-1.0,-0.3132777204199504$0.006306482848769188,-30.64449
2,-0.30212426416566524$0.005321780277511239,-1.0,-0.30744604444317647$0.005831675976773892,-30.596926
2,-0.2973439973873737$0.004780266778291523,-1.0,-0.30212426416566524$0.005321780277511239,-30.557278
2,-0.2931333099204365$0.004210687466937219,-1.0,-0.2973439973873737$0.004780266778291523,-30.536396
2,-0.2895166562707988$0.0036166536496377265,-1.0,-0.2931333099204365$0.004210687466937219,-30.528389
0,-0.2885148380455234$0.0010018182252753698,-1.0,-0.2895166562707988$0.0036166536496377265,-30.515266
0,-0.2901335838012912$-0.0016187457557677652,-1.0,-0.2885148380455234$0.0010018182252753698,-30.568096
0,-0.2943636300309928$-0.004230046229701643,-1.0,-0.2901335838012912$-0.0016187457557677652,-30.506092
1,-0.3001805908489071$-0.0058169608179143,-1.0,-0.2943636300309928$-0.004230046229701643,-30.319084
2,-0.30655051539694633$-0.006369924548039259,-1.0,-0.3001805908489071$-0.0058169608179143,-30.204243
0,-0.3154356833206695$-0.008885167923723184,-1.0,-0.30655051539694633$-0.006369924548039259,-30.145905
0,-0.3267825587918872$-0.01134687547121773,-1.0,-0.3154356833206695$-0.008885167923723184,-29.957657
0,-0.3405212686850803$-0.01373870989319308,-1.0,-0.3267825587918872$-0.01134687547121773,-29.806648
0,-0.3565650605286922$-0.016043791843611866,-1.0,-0.3405212686850803$-0.01373870989319308,-29.705488
0,-0.37480983135626805$-0.018244770827575876,-1.0,-0.3565650605286922$-0.016043791843611866,-29.580002
0,-0.3951338301728831$-0.020323998816615077,-1.0,-0.37480983135626805$-0.018244770827575876,-29.317669
0,-0.4173976415922631$-0.02226381141937997,-1.0,-0.3951338301728831$-0.020323998816615077,-28.997194
0,-0.44144455439664076$-0.02404691280437764,-1.0,-0.4173976415922631$-0.02226381141937997,-28.50997
0,-0.46710140482446605$-0.0256568504278253,-1.0,-0.44144455439664076$-0.02404691280437764,-28.20108
0,-0.49417995965456385$-0.0270785548300978,-1.0,-0.46710140482446605$-0.0256568504278253,-28.145674
1,-0.5214788692794515$-0.02729890962488772,-1.0,-0.49417995965456385$-0.0270785548300978,-28.27276
1,-0.5487936780945536$-0.02731480881510206,-1.0,-0.5214788692794515$-0.02729890962488772,-28.403236
0,-0.5769197050141541$-0.028126026919600585,-1.0,-0.5487936780945536$-0.02731480881510206,-28.393724
