action,newObservation,reward,observation,qValue
0,-0.5971193632870978$-0.00045639602997570516,-1.0,-0.5966629672571221$0.0,-31.28446
0,-0.5980288147876699$-0.0009094515005720691,-1.0,-0.5971193632870978$-0.00045639602997570516,-31.28213
0,-0.5993846681545474$-0.0013558533668774912,-1.0,-0.5980288147876699$-0.0009094515005720691,-31.271072
0,-0.6011770115458842$-0.001792343391336785,-1.0,-0.5993846681545474$-0.0013558533668774912,-31.26566
0,-0.6033927565350609$-0.0022157449891766377,-1.0,-0.6011770115458842$-0.001792343391336785,-31.265942
0,-0.606015745927623$-0.0026229893925621695,-1.0,-0.6033927565350609$-0.0022157449891766377,-31.271914
0,-0.6090268868170814$-0.0030111408894584173,-1.0,-0.606015745927623$-0.0026229893925621695,-31.283527
1,-0.6114043076995639$-0.002377420882482495,-1.0,-0.6090268868170814$-0.0030111408894584173,-31.345613
0,-0.6141307765584717$-0.002726468858907763,-1.0,-0.6114043076995639$-0.002377420882482495,-31.356552
0,-0.6171865722237542$-0.0030557956652824386,-1.0,-0.6141307765584717$-0.002726468858907763,-31.369331
0,-0.6205496448191365$-0.0033630725953823983,-1.0,-0.6171865722237542$-0.0030557956652824386,-31.386482
0,-0.6241957945966649$-0.0036461497775282883,-1.0,-0.6205496448191365$-0.0033630725953823983,-31.407887
0,-0.6280988673895663$-0.0039030727929014646,-1.0,-0.6241957945966649$-0.0036461497775282883,-31.43338
0,-0.6322309647059611$-0.004132097316394788,-1.0,-0.6280988673895663$-0.0039030727929014646,-31.462788
0,-0.6365626662971493$-0.004331701591188223,-1.0,-0.6322309647059611$-0.004132097316394788,-31.49588
0,-0.6410632628727709$-0.004500596575621683,-1.0,-0.6365626662971493$-0.004331701591188223,-31.51925
0,-0.645700996508735$-0.0046377336359641474,-1.0,-0.6410632628727709$-0.004500596575621683,-31.539448
0,-0.6504433062094168$-0.0047423097006817575,-1.0,-0.645700996508735$-0.0046377336359641474,-31.548923
2,-0.653257076048972$-0.0028137698395551223,-1.0,-0.6504433062094168$-0.0047423097006817575,-31.544436
2,-0.6541227456572614$-0.000865669608289384,-1.0,-0.653257076048972$-0.0028137698395551223,-31.471962
2,-0.65303431071859$0.0010884349386714436,-1.0,-0.6541227456572614$-0.000865669608289384,-31.392231
2,-0.6499993216931265$0.0030349890254635116,-1.0,-0.65303431071859$0.0010884349386714436,-31.285666
2,-0.6450388853151848$0.004960436377941613,-1.0,-0.6499993216931265$0.0030349890254635116,-31.158966
2,-0.6381876631487711$0.0068512221664137445,-1.0,-0.6450388853151848$0.004960436377941613,-31.050951
2,-0.6294938515903086$0.008693811558462505,-1.0,-0.6381876631487711$0.0068512221664137445,-30.82964
2,-0.6190191188912504$0.010474732699058239,-1.0,-0.6294938515903086$0.008693811558462505,-30.523458
2,-0.6068384677185812$0.012180651172669255,-1.0,-0.6190191188912504$0.010474732699058239,-30.21459
2,-0.5930399871481813$0.013798480570399884,-1.0,-0.6068384677185812$0.012180651172669255,-29.905338
2,-0.5777244564013565$0.015315530746824804,-1.0,-0.5930399871481813$0.013798480570399884,-29.692087
1,-0.5620047645659708$0.015719691835385664,-1.0,-0.5777244564013565$0.015315530746824804,-29.842009
2,-0.5449976646984582$0.0170070998675126,-1.0,-0.5620047645659708$0.015719691835385664,-29.750044
2,-0.5268301833766819$0.01816748132177635,-1.0,-0.5449976646984582$0.0170070998675126,-29.758007
2,-0.5076384668761673$0.019191716500514596,-1.0,-0.5268301833766819$0.01816748132177635,-29.773401
2,-0.4875664069583939$0.020072059917773367,-1.0,-0.5076384668761673$0.019191716500514596,-29.822084
2,-0.4667640638157453$0.02080234314264864,-1.0,-0.4875664069583939$0.020072059917773367,-29.790733
2,-0.4453859186622617$0.021378145153483612,-1.0,-0.4667640638157453$0.02080234314264864,-30.0033
1,-0.42458900219687634$0.020796916465385316,-1.0,-0.4453859186622617$0.021378145153483612,-30.1552
1,-0.4045237880016318$0.02006521419524456,-1.0,-0.42458900219687634$0.020796916465385316,-30.384418
0,-0.38633276313562886$0.018191024866002957,-1.0,-0.4045237880016318$0.02006521419524456,-30.488682
0,-0.37014238252033865$0.016190380615290198,-1.0,-0.38633276313562886$0.018191024866002957,-30.588806
1,-0.3550626991067459$0.015079683413592745,-1.0,-0.37014238252033865$0.016190380615290198,-30.685194
0,-0.3421938648374315$0.012868834269314379,-1.0,-0.3550626991067459$0.015079683413592745,-30.683277
2,-0.32961939663531153$0.012574468202119979,-1.0,-0.3421938648374315$0.012868834269314379,-30.750072
2,-0.3174190386472007$0.012200357988110784,-1.0,-0.32961939663531153$0.012574468202119979,-30.644218
2,-0.30566829474960777$0.011750743897592977,-1.0,-0.3174190386472007$0.012200357988110784,-30.593365
2,-0.29443805173877874$0.011230243010829033,-1.0,-0.30566829474960777$0.011750743897592977,-30.535887
0,-0.28579429198166795$0.008643759757110805,-1.0,-0.29443805173877874$0.011230243010829033,-30.468071
0,-0.2797865787233571$0.006007713258310858,-1.0,-0.28579429198166795$0.008643759757110805,-30.387459
0,-0.2764487141076851$0.003337864615671985,-1.0,-0.2797865787233571$0.006007713258310858,-30.440878
0,-0.2757992447866736$0.0006494693210115352,-1.0,-0.2764487141076851$0.003337864615671985,-30.472366
0,-0.2778417598814113$-0.0020425150947376877,-1.0,-0.2757992447866736$0.0006494693210115352,-30.446247
0,-0.2825649503698504$-0.004723190488439118,-1.0,-0.2778417598814113$-0.0020425150947376877,-30.322071
0,-0.2899424238684505$-0.007377473498600049,-1.0,-0.2825649503698504$-0.004723190488439118,-30.074871
1,-0.2989322937643765$-0.008989869895926022,-1.0,-0.2899424238684505$-0.007377473498600049,-29.92547
0,-0.31048245332083013$-0.011550159556453632,-1.0,-0.2989322937643765$-0.008989869895926022,-29.738314
0,-0.3245242956870298$-0.014041842366199653,-1.0,-0.31048245332083013$-0.011550159556453632,-29.57811
0,-0.34097200981765646$-0.016447714130626682,-1.0,-0.3245242956870298$-0.014041842366199653,-29.468224
0,-0.3597219213421221$-0.018749911524465666,-1.0,-0.34097200981765646$-0.016447714130626682,-29.414974
0,-0.3806519927691071$-0.020930071426984994,-1.0,-0.3597219213421221$-0.018749911524465666,-29.2499
0,-0.4036216052932345$-0.022969612524127395,-1.0,-0.3806519927691071$-0.020930071426984994,-28.966866
1,-0.4274717431516919$-0.023850137858457385,-1.0,-0.4036216052932345$-0.022969612524127395,-28.745882
