action,newObservation,reward,observation,qValue
0,-0.46405786501244567$-0.0014549199875284068,-1.0,-0.4626029450249173$0.0,-31.034138
1,-0.46595697096843136$-0.0018991059559856874,-1.0,-0.46405786501244567$-0.0014549199875284068,-31.076212
0,-0.46928623908538286$-0.0033292681169514986,-1.0,-0.46595697096843136$-0.0018991059559856874,-30.931633
0,-0.4740210512105994$-0.004734812125216557,-1.0,-0.46928623908538286$-0.0033292681169514986,-30.863647
0,-0.4801263268637126$-0.006105275653113213,-1.0,-0.4740210512105994$-0.004734812125216557,-30.81046
0,-0.4875567224066011$-0.007430395542888506,-1.0,-0.4801263268637126$-0.006105275653113213,-30.777115
2,-0.4942569069346876$-0.006700184528086512,-1.0,-0.4875567224066011$-0.007430395542888506,-30.910177
0,-0.5021768713932303$-0.007919964458542695,-1.0,-0.4942569069346876$-0.006700184528086512,-30.882875
0,-0.5112573895633753$-0.009080518170144995,-1.0,-0.5021768713932303$-0.007919964458542695,-30.621305
0,-0.5214304469834473$-0.01017305742007204,-1.0,-0.5112573895633753$-0.009080518170144995,-30.480957
1,-0.5316197667534404$-0.01018931976999307,-1.0,-0.5214304469834473$-0.01017305742007204,-30.485432
0,-0.5427489348950618$-0.011129168141621404,-1.0,-0.5316197667534404$-0.01018931976999307,-30.475513
0,-0.5547345558366703$-0.011985620941608432,-1.0,-0.5427489348950618$-0.011129168141621404,-30.439598
0,-0.5674869978503141$-0.012752442013643749,-1.0,-0.5547345558366703$-0.011985620941608432,-30.389915
0,-0.5809112284080508$-0.013424230557736656,-1.0,-0.5674869978503141$-0.012752442013643749,-30.348162
2,-0.5929077303124684$-0.011996501904417615,-1.0,-0.5809112284080508$-0.013424230557736656,-30.488888
0,-0.6053881525609597$-0.012480422248491349,-1.0,-0.5929077303124684$-0.011996501904417615,-30.651146
0,-0.6182612911948017$-0.012873138633841964,-1.0,-0.6053881525609597$-0.012480422248491349,-30.692982
0,-0.6314339655915481$-0.01317267439674636,-1.0,-0.6182612911948017$-0.012873138633841964,-30.744883
0,-0.6448119094079684$-0.013377943816420325,-1.0,-0.6314339655915481$-0.01317267439674636,-30.696882
0,-0.6583006582318458$-0.01348874882387736,-1.0,-0.6448119094079684$-0.013377943816420325,-30.595284
0,-0.6718064155513709$-0.013505757319525111,-1.0,-0.6583006582318458$-0.01348874882387736,-30.504036
0,-0.6852368791380237$-0.013430463586652827,-1.0,-0.6718064155513709$-0.013505757319525111,-30.423332
0,-0.6985020113484551$-0.013265132210431484,-1.0,-0.6852368791380237$-0.013430463586652827,-30.352943
0,-0.7115147390931553$-0.01301272774470024,-1.0,-0.6985020113484551$-0.013265132210431484,-30.251635
0,-0.7241915721399613$-0.012676833046805948,-1.0,-0.7115147390931553$-0.01301272774470024,-30.041782
