action,newObservation,reward,observation,qValue
0,-0.42930957263547276$-0.0017100827805225484,-1.0,-0.4275994898549502$0.0,-30.705688
0,-0.43271743151510483$-0.0034078588796320605,-1.0,-0.42930957263547276$-0.0017100827805225484,-30.603233
0,-0.43779848725149745$-0.005081055736392603,-1.0,-0.43271743151510483$-0.0034078588796320605,-30.517456
2,-0.44251596275886446$-0.0047174755073670135,-1.0,-0.43779848725149745$-0.005081055736392603,-30.616533
0,-0.4488355800122557$-0.006319617253391237,-1.0,-0.44251596275886446$-0.0047174755073670135,-30.518093
0,-0.45671123176376893$-0.00787565175151324,-1.0,-0.4488355800122557$-0.006319617253391237,-30.466064
2,-0.4640851802905865$-0.007373948526817529,-1.0,-0.45671123176376893$-0.00787565175151324,-30.56289
0,-0.47290311317931666$-0.008817932888730146,-1.0,-0.4640851802905865$-0.007373948526817529,-30.51506
0,-0.4830997994634852$-0.010196686284168546,-1.0,-0.47290311317931666$-0.008817932888730146,-30.474161
0,-0.4945994813377934$-0.011499681874308198,-1.0,-0.4830997994634852$-0.010196686284168546,-30.305725
0,-0.5073163836666428$-0.012716902328849384,-1.0,-0.4945994813377934$-0.011499681874308198,-30.106113
0,-0.521155355377591$-0.013838971710948134,-1.0,-0.5073163836666428$-0.012716902328849384,-30.047876
0,-0.5360126525760803$-0.014857297198489362,-1.0,-0.521155355377591$-0.013838971710948134,-30.000875
2,-0.5497768672173577$-0.013764214641277401,-1.0,-0.5360126525760803$-0.014857297198489362,-30.07954
0,-0.5643449479303186$-0.014568080712960868,-1.0,-0.5497768672173577$-0.013764214641277401,-30.192532
0,-0.5796081928320252$-0.015263244901706564,-1.0,-0.5643449479303186$-0.014568080712960868,-30.160007
0,-0.5954533409928169$-0.015845148160791626,-1.0,-0.5796081928320252$-0.015263244901706564,-30.208271
0,-0.6117637438730072$-0.016310402880190325,-1.0,-0.5954533409928169$-0.015845148160791626,-30.261768
0,-0.6284205923252113$-0.016656848452204102,-1.0,-0.6117637438730072$-0.016310402880190325,-30.328556
0,-0.6453041703300272$-0.016883578004815897,-1.0,-0.6284205923252113$-0.016656848452204102,-30.234686
0,-0.6622951037786309$-0.016990933448603713,-1.0,-0.6453041703300272$-0.016883578004815897,-30.145199
0,-0.6792755716306196$-0.016980467851988708,-1.0,-0.6622951037786309$-0.016990933448603713,-30.061764
0,-0.6961304477812068$-0.016854876150587273,-1.0,-0.6792755716306196$-0.016980467851988708,-29.973873
0,-0.7127483449014772$-0.016617897120270408,-1.0,-0.6961304477812068$-0.016854876150587273,-29.685352
0,-0.729022536122975$-0.016274191221497723,-1.0,-0.7127483449014772$-0.016617897120270408,-29.402798
0,-0.7448517363324446$-0.015829200209469624,-1.0,-0.729022536122975$-0.016274191221497723,-29.145132
0,-0.7601407315386619$-0.015288995206217307,-1.0,-0.7448517363324446$-0.015829200209469624,-28.913395
