action,newObservation,reward,observation,qValue
0,-0.5861387328820484$-0.0005376596206627835,-1.0,-0.5856010732613857$0.0,-31.19289
0,-0.5872100898369172$-0.0010713569548688013,-1.0,-0.5861387328820484$-0.0005376596206627835,-31.161716
0,-0.588807252380565$-0.001597162543647676,-1.0,-0.5872100898369172$-0.0010713569548688013,-31.134068
0,-0.590918464739189$-0.002111212358624044,-1.0,-0.588807252380565$-0.001597162543647676,-31.127695
0,-0.5935282046857362$-0.0026097399465472237,-1.0,-0.590918464739189$-0.002111212358624044,-31.12803
0,-0.5966173125483502$-0.003089107862613918,-1.0,-0.5935282046857362$-0.0026097399465472237,-31.135075
0,-0.6001631506636165$-0.0035458381152663177,-1.0,-0.5966173125483502$-0.003089107862613918,-31.148764
0,-0.6041397919810799$-0.003976641317463474,-1.0,-0.6001631506636165$-0.0035458381152663177,-31.169003
0,-0.6085182361937453$-0.004378444212665434,-1.0,-0.6041397919810799$-0.003976641317463474,-31.195637
0,-0.6132666514159189$-0.004748415222173532,-1.0,-0.6085182361937453$-0.004378444212665434,-31.228476
0,-0.61835063906413$-0.0050839876482111825,-1.0,-0.6132666514159189$-0.004748415222173532,-31.26727
0,-0.6237335192320642$-0.005382880167934206,-1.0,-0.61835063906413$-0.0050839876482111825,-31.305912
0,-0.6293766335024072$-0.005643114270343019,-1.0,-0.6237335192320642$-0.005382880167934206,-31.349003
2,-0.6332396618250332$-0.0038630283226260115,-1.0,-0.6293766335024072$-0.005643114270343019,-31.42712
0,-0.637295131072578$-0.004055469247544772,-1.0,-0.6332396618250332$-0.0038630283226260115,-31.518843
0,-0.641514316278572$-0.004219185205994078,-1.0,-0.637295131072578$-0.004055469247544772,-31.541992
0,-0.6458674643168754$-0.004353148038303336,-1.0,-0.641514316278572$-0.004219185205994078,-31.553318
0,-0.6503240228534082$-0.00445655853653281,-1.0,-0.6458674643168754$-0.004353148038303336,-31.550758
0,-0.6548528722178244$-0.004528849364416245,-1.0,-0.6503240228534082$-0.00445655853653281,-31.542494
2,-0.6574225578518835$-0.0025696856340591445,-1.0,-0.6548528722178244$-0.004528849364416245,-31.478882
2,-0.6580153106849141$-0.0005927528330306642,-1.0,-0.6574225578518835$-0.0025696856340591445,-31.42878
2,-0.6566270401040014$0.0013882705809127194,-1.0,-0.6580153106849141$-0.0005927528330306642,-31.364367
2,-0.6532673314772274$0.0033597086267740228,-1.0,-0.6566270401040014$0.0013882705809127194,-31.268637
2,-0.6479594514496585$0.005307880027568853,-1.0,-0.6532673314772274$0.0033597086267740228,-31.14014
2,-0.6407403535008084$0.007219097948850076,-1.0,-0.6479594514496585$0.005307880027568853,-31.039991
2,-0.6316606660145775$0.009079687486230906,-1.0,-0.6407403535008084$0.007219097948850076,-30.795269
2,-0.6207846360762519$0.010876029938325624,-1.0,-0.6316606660145775$0.009079687486230906,-30.484217
2,-0.6081899950866703$0.012594640989581617,-1.0,-0.6207846360762519$0.010876029938325624,-30.17074
2,-0.5939677077631813$0.014222287323488902,-1.0,-0.6081899950866703$0.012594640989581617,-29.85717
2,-0.5782215648068633$0.015746142956318026,-1.0,-0.5939677077631813$0.014222287323488902,-29.61824
2,-0.5610675819427624$0.01715398286410083,-1.0,-0.5782215648068633$0.015746142956318026,-29.567102
2,-0.5426331744397958$0.018434407502966654,-1.0,-0.5610675819427624$0.01715398286410083,-29.553719
2,-0.5230560865164858$0.019577087923309915,-1.0,-0.5426331744397958$0.018434407502966654,-29.554699
2,-0.5024830687594914$0.020573017756994383,-1.0,-0.5230560865164858$0.019577087923309915,-29.588617
2,-0.48106831290712987$0.021414755852361567,-1.0,-0.5024830687594914$0.020573017756994383,-29.657217
1,-0.4599716707575072$0.021096642149622664,-1.0,-0.48106831290712987$0.021414755852361567,-29.713297
2,-0.43834933929816733$0.02162233145933987,-1.0,-0.4599716707575072$0.021096642149622664,-30.062763
1,-0.4173594314613252$0.020989907836842125,-1.0,-0.43834933929816733$0.02162233145933987,-30.186457
1,-0.39715289715804136$0.020206534303283865,-1.0,-0.4173594314613252$0.020989907836842125,-30.378515
0,-0.37887212603835274$0.018280771119688607,-1.0,-0.39715289715804136$0.020206534303283865,-30.465294
0,-0.3626430213681109$0.016229104670241874,-1.0,-0.37887212603835274$0.018280771119688607,-30.568916
1,-0.3475747180011651$0.015068303366945795,-1.0,-0.3626430213681109$0.016229104670241874,-30.63759
2,-0.33276608728391255$0.014808630717252498,-1.0,-0.3475747180011651$0.015068303366945795,-30.626757
2,-0.3183117902819564$0.014454297001956173,-1.0,-0.33276608728391255$0.014808630717252498,-30.548874
2,-0.3043016470658072$0.014010143216149172,-1.0,-0.3183117902819564$0.014454297001956173,-30.585411
2,-0.2908201281025938$0.013481518963213425,-1.0,-0.3043016470658072$0.014010143216149172,-30.536263
0,-0.2799459692756049$0.010874158826988872,-1.0,-0.2908201281025938$0.013481518963213425,-30.441833
0,-0.27174076924335083$0.008205200032254055,-1.0,-0.2799459692756049$0.010874158826988872,-30.363163
0,-0.266249835704807$0.005490933538543837,-1.0,-0.27174076924335083$0.008205200032254055,-30.295692
0,-0.2635029101989384$0.002746925505868599,-1.0,-0.266249835704807$0.005490933538543837,-30.40939
0,-0.26351469430842883$-1.1784109490439211e-05,-1.0,-0.2635029101989384$0.002746925505868599,-30.44168
1,-0.2652851252189356$-0.0017704309105067541,-1.0,-0.26351469430842883$-1.1784109490439211e-05,-30.420681
2,-0.2678047408503868$-0.0025196156314511754,-1.0,-0.2652851252189356$-0.0017704309105067541,-30.358206
0,-0.27305999008194065$-0.0052552492315538265,-1.0,-0.2678047408503868$-0.0025196156314511754,-30.237535
0,-0.2810222906614346$-0.007962300579493913,-1.0,-0.27305999008194065$-0.0052552492315538265,-29.965023
0,-0.29164753115423353$-0.01062524049279897,-1.0,-0.2810222906614346$-0.007962300579493913,-29.732033
1,-0.303875373944837$-0.012227842790603433,-1.0,-0.29164753115423353$-0.01062524049279897,-29.617437
0,-0.318634369508765$-0.014758995563928016,-1.0,-0.303875373944837$-0.012227842790603433,-29.433815
0,-0.3358355433289765$-0.017201173820211527,-1.0,-0.318634369508765$-0.014758995563928016,-29.314642
0,-0.35537164347682315$-0.019536100147846614,-1.0,-0.3358355433289765$-0.017201173820211527,-29.267033
0,-0.3771165650796801$-0.021744921602856952,-1.0,-0.35537164347682315$-0.019536100147846614,-29.139097
0,-0.4009250835296782$-0.023808518449998116,-1.0,-0.3771165650796801$-0.021744921602856952,-28.905361
0,-0.4266330262805089$-0.025707942750830732,-1.0,-0.4009250835296782$-0.023808518449998116,-28.512983
