action,newObservation,reward,observation,qValue
0,-0.5367090194902185$-0.0009085074120459586,-1.0,-0.5358005120781726$0.0,-31.356703
0,-0.5385192254215155$-0.0018102059312970129,-1.0,-0.5367090194902185$-0.0009085074120459586,-31.322166
0,-0.5412175653432589$-0.002698339921743443,-1.0,-0.5385192254215155$-0.0018102059312970129,-31.140833
2,-0.542783825862446$-0.0015662605191871224,-1.0,-0.5412175653432589$-0.002698339921743443,-30.955685
0,-0.5452062779318815$-0.002422452069435517,-1.0,-0.542783825862446$-0.0015662605191871224,-31.095936
2,-0.5464667872022289$-0.0012605092703473334,-1.0,-0.5452062779318815$-0.002422452069435517,-30.96332
0,-0.5485559208896499$-0.002089133687420995,-1.0,-0.5464667872022289$-0.0012605092703473334,-31.10012
2,-0.5494580508172082$-0.0009021299275583843,-1.0,-0.5485559208896499$-0.002089133687420995,-30.98283
0,-0.5511664306588043$-0.0017083798415960597,-1.0,-0.5494580508172082$-0.0009021299275583843,-31.139748
2,-0.5516682887027394$-0.0005018580439351517,-1.0,-0.5511664306588043$-0.0017083798415960597,-31.011793
0,-0.5529598741140787$-0.00129158541133918,-1.0,-0.5516682887027394$-0.0005018580439351517,-31.19526
2,-0.5530315359298354$-7.166181575676963e-05,-1.0,-0.5529598741140787$-0.00129158541133918,-31.040064
2,-0.5518827387751309$0.00114879715470451,-1.0,-0.5530315359298354$-7.166181575676963e-05,-31.305208
0,-0.5515220663551033$0.0003606724200276812,-1.0,-0.5518827387751309$0.00114879715470451,-31.36395
0,-0.5519522141043024$-0.0004301477491991313,-1.0,-0.5515220663551033$0.0003606724200276812,-31.356615
0,-0.5531699674024833$-0.0012177532981808552,-1.0,-0.5519522141043024$-0.0004301477491991313,-31.206318
2,-0.5531662275579186$3.7398445647508164e-06,-1.0,-0.5531699674024833$-0.0012177532981808552,-31.044724
0,-0.5539410225091552$-0.0007747949512366434,-1.0,-0.5531662275579186$3.7398445647508164e-06,-31.278252
0,-0.5554885647431863$-0.0015475422340311008,-1.0,-0.5539410225091552$-0.0007747949512366434,-31.119795
2,-0.555797298235919$-0.00030873349273259306,-1.0,-0.5554885647431863$-0.0015475422340311008,-31.034445
0,-0.5568649181772986$-0.0010676199413795727,-1.0,-0.555797298235919$-0.00030873349273259306,-31.191568
2,-0.5566834559952314$0.00018146218206720514,-1.0,-0.5568649181772986$-0.0010676199413795727,-31.064766
0,-0.5572542659211217$-0.000570809925890284,-1.0,-0.5566834559952314$0.00018146218206720514,-31.277668
0,-0.5585730883157348$-0.001318822394613121,-1.0,-0.5572542659211217$-0.000570809925890284,-31.126324
2,-0.5586300843826395$-5.6996066904729066e-05,-1.0,-0.5585730883157348$-0.001318822394613121,-31.056746
0,-0.5594248290059793$-0.0007947446233398322,-1.0,-0.5586300843826395$-5.6996066904729066e-05,-31.212124
2,-0.5589513952383376$0.00047343376764175473,-1.0,-0.5594248290059793$-0.0007947446233398322,-31.087753
0,-0.5592133136136506$-0.00026191837531294054,-1.0,-0.5589513952383376$0.00047343376764175473,-31.31164
0,-0.5602086308636324$-0.0009953172499817566,-1.0,-0.5592133136136506$-0.00026191837531294054,-31.166643
1,-0.560929925875796$-0.0007212950121637082,-1.0,-0.5602086308636324$-0.0009953172499817566,-31.086634
2,-0.5603718221779227$0.0005581036978733866,-1.0,-0.560929925875796$-0.0007212950121637082,-31.096582
0,-0.5605384797147221$-0.00016665753679943234,-1.0,-0.5603718221779227$0.0005581036978733866,-31.313896
0,-0.5614286561874391$-0.0008901764727169347,-1.0,-0.5605384797147221$-0.00016665753679943234,-31.171902
0,-0.5630357172199201$-0.001607061032480936,-1.0,-0.5614286561874391$-0.0008901764727169347,-31.088882
0,-0.5653476907283094$-0.002311973508389276,-1.0,-0.5630357172199201$-0.001607061032480936,-31.049181
0,-0.5683473653622291$-0.002999674633919705,-1.0,-0.5653476907283094$-0.002311973508389276,-31.011663
0,-0.5720124327346897$-0.0036650673724606554,-1.0,-0.5683473653622291$-0.002999674633919705,-30.97662
0,-0.5763156729367863$-0.004303240202096644,-1.0,-0.5720124327346897$-0.0036650673724606554,-30.944315
0,-0.5812251825190632$-0.004909509582276915,-1.0,-0.5763156729367863$-0.004303240202096644,-30.914972
0,-0.586704643701297$-0.005479461182233861,-1.0,-0.5812251825190632$-0.004909509582276915,-30.888811
0,-0.5927136330445371$-0.006008989343240025,-1.0,-0.586704643701297$-0.005479461182233861,-30.914764
0,-0.5992079671937823$-0.00649433414924531,-1.0,-0.5927136330445371$-0.006008989343240025,-30.960888
0,-0.6061400825988245$-0.006932115405042143,-1.0,-0.5992079671937823$-0.00649433414924531,-31.014942
0,-0.6134594453774317$-0.0073193627786072085,-1.0,-0.6061400825988245$-0.006932115405042143,-31.07653
0,-0.6211129867406293$-0.0076535413631976,-1.0,-0.6134594453774317$-0.0073193627786072085,-31.145185
0,-0.6290455587012$-0.007932571960570716,-1.0,-0.6211129867406293$-0.0076535413631976,-31.200058
0,-0.6372004041822282$-0.008154845481028235,-1.0,-0.6290455587012$-0.007932571960570716,-31.21948
0,-0.6455196351786733$-0.008319230996445019,-1.0,-0.6372004041822282$-0.008154845481028235,-31.24187
0,-0.6539447123412633$-0.008425077162589995,-1.0,-0.6455196351786733$-0.008319230996445019,-31.179546
1,-0.6614169192781207$-0.007472206936857471,-1.0,-0.6539447123412633$-0.008425077162589995,-31.198307
0,-0.6688846885299735$-0.007467769251852759,-1.0,-0.6614169192781207$-0.007472206936857471,-31.18571
0,-0.6762969875221526$-0.007412298992179139,-1.0,-0.6688846885299735$-0.007467769251852759,-31.14284
0,-0.6836036865249173$-0.007306699002764743,-1.0,-0.6762969875221526$-0.007412298992179139,-31.106232
0,-0.6907559049192014$-0.007152218394284001,-1.0,-0.6836036865249173$-0.007306699002764743,-31.055311
0,-0.6977063326045297$-0.006950427685328358,-1.0,-0.6907559049192014$-0.007152218394284001,-30.982082
1,-0.7034095241543444$-0.005703191549814736,-1.0,-0.6977063326045297$-0.006950427685328358,-30.960714
2,-0.7068285933516707$-0.003419069197326292,-1.0,-0.7034095241543444$-0.005703191549814736,-30.809206
