action,newObservation,reward,observation,qValue
0,-0.5742457497747203$-0.0006262509908893574,-1.0,-0.573619498783831$0.0,-31.167849
0,-0.5754936083209847$-0.0012478585462643655,-1.0,-0.5742457497747203$-0.0006262509908893574,-31.13153
0,-0.5773538259793624$-0.001860217658377574,-1.0,-0.5754936083209847$-0.0012478585462643655,-31.0968
0,-0.5798126259614792$-0.0024587999821168932,-1.0,-0.5773538259793624$-0.001860217658377574,-31.063896
0,-0.5828518176265389$-0.0030391916650596906,-1.0,-0.5798126259614792$-0.0024587999821168932,-31.033081
0,-0.5864489481513403$-0.0035971305248013513,-1.0,-0.5828518176265389$-0.0030391916650596906,-31.00457
0,-0.5905774904279384$-0.004128542276598067,-1.0,-0.5864489481513403$-0.0035971305248013513,-31.00278
0,-0.5952070658857037$-0.004629575457765305,-1.0,-0.5905774904279384$-0.004128542276598067,-31.026363
2,-0.598303700523478$-0.003096634637774313,-1.0,-0.5952070658857037$-0.004629575457765305,-31.103529
0,-0.6018447267550111$-0.003541026231533063,-1.0,-0.598303700523478$-0.003096634637774313,-31.168533
0,-0.6058042828959068$-0.003959556140895724,-1.0,-0.6018447267550111$-0.003541026231533063,-31.189312
0,-0.6101535283982693$-0.0043492455023624475,-1.0,-0.6058042828959068$-0.003959556140895724,-31.21634
0,-0.6148608837004035$-0.00470735530213417,-1.0,-0.6101535283982693$-0.0043492455023624475,-31.249413
0,-0.6198922923395925$-0.0050314086391890465,-1.0,-0.6148608837004035$-0.00470735530213417,-31.286346
0,-0.6252115026281218$-0.005319210288529221,-1.0,-0.6198922923395925$-0.0050314086391890465,-31.324577
0,-0.6307803658646419$-0.005568863236520185,-1.0,-0.6252115026281218$-0.005319210288529221,-31.367504
0,-0.6365591477615108$-0.005778781896868894,-1.0,-0.6307803658646419$-0.005568863236520185,-31.400177
0,-0.642506849530967$-0.005947701769456265,-1.0,-0.6365591477615108$-0.005778781896868894,-31.42656
0,-0.648581534904756$-0.006074685373789009,-1.0,-0.642506849530967$-0.005947701769456265,-31.447102
0,-0.6547406592765302$-0.006159124371774256,-1.0,-0.648581534904756$-0.006074685373789009,-31.422821
0,-0.6609413971637179$-0.006200737887187703,-1.0,-0.6547406592765302$-0.006159124371774256,-31.37722
0,-0.6671409642907526$-0.006199567127034747,-1.0,-0.6609413971637179$-0.006200737887187703,-31.336353
0,-0.6732969307986185$-0.006155966507865857,-1.0,-0.6671409642907526$-0.006199567127034747,-31.283855
1,-0.6783675223813276$-0.005070591582709026,-1.0,-0.6732969307986185$-0.006155966507865857,-31.273119
2,-0.6813186074734252$-0.0029510850920976533,-1.0,-0.6783675223813276$-0.005070591582709026,-31.148796
0,-0.6841304402496434$-0.0028118327762182488,-1.0,-0.6813186074734252$-0.0029510850920976533,-31.259354
1,-0.6857842896781207$-0.0016538494284772177,-1.0,-0.6841304402496434$-0.0028118327762182488,-31.184767
2,-0.6852691770364757$0.0005151126416449777,-1.0,-0.6857842896781207$-0.0016538494284772177,-31.003542
2,-0.6825885187158413$0.0026806583206344693,-1.0,-0.6852691770364757$0.0005151126416449777,-31.000574
2,-0.6777601384436325$0.004828380272208723,-1.0,-0.6825885187158413$0.0026806583206344693,-31.05831
2,-0.6708163266497252$0.006943811793907254,-1.0,-0.6777601384436325$0.004828380272208723,-31.159275
1,-0.6628039295473197$0.008012397102405528,-1.0,-0.6708163266497252$0.006943811793907254,-31.30172
2,-0.6527775774438123$0.010026352103507483,-1.0,-0.6628039295473197$0.008012397102405528,-30.82447
2,-0.6408064536831767$0.011971123760635635,-1.0,-0.6527775774438123$0.010026352103507483,-30.486542
2,-0.6269742749494426$0.013832178733734138,-1.0,-0.6408064536831767$0.011971123760635635,-30.145937
2,-0.6113791484598454$0.01559512648959712,-1.0,-0.6269742749494426$0.013832178733734138,-29.805168
2,-0.5941332521340041$0.01724589632584124,-1.0,-0.6113791484598454$0.01559512648959712,-29.466812
2,-0.5753622862208486$0.018770965913155573,-1.0,-0.5941332521340041$0.01724589632584124,-29.228022
2,-0.5552046524536758$0.02015763376717278,-1.0,-0.5753622862208486$0.018770965913155573,-29.126698
2,-0.533810329636634$0.021394322817041834,-1.0,-0.5552046524536758$0.02015763376717278,-29.13767
2,-0.5113394321429487$0.022470897493685204,-1.0,-0.533810329636634$0.021394322817041834,-29.176678
2,-0.48796045899873514$0.02337897314421361,-1.0,-0.5113394321429487$0.022470897493685204,-29.253418
2,-0.46384826430160203$0.02411219469713311,-1.0,-0.48796045899873514$0.02337897314421361,-29.342777
2,-0.4391818024786858$0.02466646182291621,-1.0,-0.46384826430160203$0.02411219469713311,-29.681622
2,-0.4141417219120565$0.02504008056662933,-1.0,-0.4391818024786858$0.02466646182291621,-29.722063
2,-0.38890789546694016$0.025233826445116334,-1.0,-0.4141417219120565$0.02504008056662933,-29.665619
2,-0.363656984653396$0.025250910813544147,-1.0,-0.38890789546694016$0.025233826445116334,-29.632763
2,-0.3385601345275828$0.025096850125813194,-1.0,-0.363656984653396$0.025250910813544147,-29.586199
1,-0.3147808889513985$0.02377924557618434,-1.0,-0.3385601345275828$0.025096850125813194,-29.662077
2,-0.29146733217254694$0.02331355677885156,-1.0,-0.3147808889513985$0.02377924557618434,-29.752377
2,-0.26875741473672116$0.022709917435825767,-1.0,-0.29146733217254694$0.02331355677885156,-29.8181
1,-0.2477779813051966$0.02097943343152456,-1.0,-0.26875741473672116$0.022709917435825767,-29.893414
0,-0.2296390889254505$0.018138892379746085,-1.0,-0.2477779813051966$0.02097943343152456,-29.95976
0,-0.2144300334525734$0.015209055472877119,-1.0,-0.2296390889254505$0.018138892379746085,-30.048931
0,-0.20222129444782272$0.01220873900475068,-1.0,-0.2144300334525734$0.015209055472877119,-29.992758
0,-0.19306644195750328$0.009154852490319443,-1.0,-0.20222129444782272$0.01220873900475068,-29.942112
0,-0.18700384239302487$0.006062599564478421,-1.0,-0.19306644195750328$0.009154852490319443,-29.85479
0,-0.18405803624949252$0.0029458061435323505,-1.0,-0.18700384239302487$0.006062599564478421,-29.810337
0,-0.1842406954290695$-0.00018265917957700165,-1.0,-0.18405803624949252$0.0029458061435323505,-29.881954
0,-0.187551101022601$-0.003310405593531487,-1.0,-0.1842406954290695$-0.00018265917957700165,-29.850868
1,-0.1929761134470202$-0.005425012424419189,-1.0,-0.187551101022601$-0.003310405593531487,-29.883972
0,-0.20149374953301039$-0.00851763608599018,-1.0,-0.1929761134470202$-0.005425012424419189,-29.565742
0,-0.2130683782016859$-0.011574628668675504,-1.0,-0.20149374953301039$-0.00851763608599018,-29.280855
0,-0.22764943235645693$-0.014581054154771046,-1.0,-0.2130683782016859$-0.011574628668675504,-29.017338
0,-0.24516977519448055$-0.017520342838023617,-1.0,-0.22764943235645693$-0.014581054154771046,-28.77288
0,-0.2655438408075109$-0.020374065613030366,-1.0,-0.24516977519448055$-0.017520342838023617,-28.567245
0,-0.28866570429566124$-0.023121863488150294,-1.0,-0.2655438408075109$-0.020374065613030366,-28.422028
0,-0.3144072700224783$-0.025741565726817066,-1.0,-0.28866570429566124$-0.023121863488150294,-28.305668
0,-0.3426167936735438$-0.02820952365106552,-1.0,-0.3144072700224783$-0.025741565726817066,-28.23346
0,-0.37311796862529917$-0.030501174951755368,-1.0,-0.3426167936735438$-0.02820952365106552,-28.226393
0,-0.4057098033393244$-0.032591834714025186,-1.0,-0.37311796862529917$-0.030501174951755368,-27.763042
1,-0.4391674882932229$-0.03345768495389848,-1.0,-0.4057098033393244$-0.032591834714025186,-27.182388
1,-0.4732516584348762$-0.03408417014165334,-1.0,-0.4391674882932229$-0.03345768495389848,-27.129354
0,-0.5087119978502714$-0.03546033941539517,-1.0,-0.4732516584348762$-0.03408417014165334,-27.044083
0,-0.5452839509870361$-0.036571953136764666,-1.0,-0.5087119978502714$-0.03546033941539517,-27.063173
0,-0.582693380004693$-0.03740942901765691,-1.0,-0.5452839509870361$-0.036571953136764666,-27.121756
0,-0.6206619174896779$-0.037968537484984986,-1.0,-0.582693380004693$-0.03740942901765691,-27.144579
0,-0.6589127255185863$-0.038250808028908366,-1.0,-0.6206619174896779$-0.037968537484984986,-27.195366
0,-0.6971763229428634$-0.03826359742427708,-1.0,-0.6589127255185863$-0.038250808028908366,-26.128464
0,-0.735196130854036$-0.03801980791117266,-1.0,-0.6971763229428634$-0.03826359742427708,-25.621471
0,-0.7727334135162888$-0.03753728266225274,-1.0,-0.735196130854036$-0.03801980791117266,-25.104244
0,-0.809571353834188$-0.03683794031789917,-1.0,-0.7727334135162888$-0.03753728266225274,-24.712633
0,-0.845518088219476$-0.03594673438528805,-1.0,-0.809571353834188$-0.03683794031789917,-24.53928
0,-0.880408621947619$-0.03489053372814302,-1.0,-0.845518088219476$-0.03594673438528805,-24.355255
1,-0.9131056390371391$-0.032697017089520095,-1.0,-0.880408621947619$-0.03489053372814302,-24.438833
0,-0.944502225136246$-0.031396586099106866,-1.0,-0.9131056390371391$-0.032697017089520095,-24.08905
0,-0.9745165219503812$-0.03001429681413517,-1.0,-0.944502225136246$-0.031396586099106866,-23.87952
0,-1.0030900121728128$-0.028573490222431528,-1.0,-0.9745165219503812$-0.03001429681413517,-23.699821
0,-1.030185357072747$-0.027095344899934322,-1.0,-1.0030900121728128$-0.028573490222431528,-23.54422
