action,newObservation,reward,observation,qValue
0,-0.5078594928757111$-0.0011264389475838612,-1.0,-0.5067330539281272$0.0,-31.304161
0,-0.5101039325846949$-0.0022444397089837536,-1.0,-0.5078594928757111$-0.0011264389475838612,-31.285412
0,-0.5134495559710357$-0.00334562338634084,-1.0,-0.5101039325846949$-0.0022444397089837536,-31.268848
0,-0.5178712867439575$-0.004421730772921903,-1.0,-0.5134495559710357$-0.00334562338634084,-31.254581
0,-0.5233359715696088$-0.005464684825651256,-1.0,-0.5178712867439575$-0.004421730772921903,-31.127333
0,-0.529802627425271$-0.006466655855662235,-1.0,-0.5233359715696088$-0.005464684825651256,-30.848936
0,-0.5372227570783746$-0.007420129653103694,-1.0,-0.529802627425271$-0.006466655855662235,-30.780622
0,-0.5455407353168478$-0.00831797823847313,-1.0,-0.5372227570783746$-0.007420129653103694,-30.717321
1,-0.5536942676760975$-0.008153532359249796,-1.0,-0.5455407353168478$-0.00831797823847313,-30.712408
1,-0.5616223903796134$-0.007928122703515802,-1.0,-0.5536942676760975$-0.008153532359249796,-30.732885
0,-0.5702659540315996$-0.008643563651986317,-1.0,-0.5616223903796134$-0.007928122703515802,-30.679995
0,-0.5795606560962795$-0.009294702064679831,-1.0,-0.5702659540315996$-0.008643563651986317,-30.641582
2,-0.5874376129286628$-0.00787695683238334,-1.0,-0.5795606560962795$-0.009294702064679831,-30.71471
0,-0.5958387000149613$-0.008401087086298534,-1.0,-0.5874376129286628$-0.00787695683238334,-30.80752
0,-0.6047022188766574$-0.008863518861696156,-1.0,-0.5958387000149613$-0.008401087086298534,-30.882467
0,-0.6139634458202851$-0.009261226943627682,-1.0,-0.6047022188766574$-0.008863518861696156,-30.965923
0,-0.623555208632666$-0.009591762812380973,-1.0,-0.6139634458202851$-0.009261226943627682,-31.027859
0,-0.633408483093043$-0.00985327446037702,-1.0,-0.623555208632666$-0.009591762812380973,-31.05776
0,-0.6434530003001242$-0.01004451720708121,-1.0,-0.633408483093043$-0.00985327446037702,-31.071487
0,-0.6536178552379913$-0.010164854937867153,-1.0,-0.6434530003001242$-0.01004451720708121,-30.99089
0,-0.6638321067876206$-0.010214251549629254,-1.0,-0.6536178552379913$-0.010164854937867153,-30.917841
0,-0.6740253595635172$-0.010193252775896501,-1.0,-0.6638321067876206$-0.010214251549629254,-30.85275
0,-0.6841283185231705$-0.01010295895965335,-1.0,-0.6740253595635172$-0.010193252775896501,-30.795979
0,-0.6940733082380725$-0.009944989714901951,-1.0,-0.6841283185231705$-0.01010295895965335,-30.747728
0,-0.7037947499803471$-0.009721441742274616,-1.0,-0.6940733082380725$-0.009944989714901951,-30.707531
0,-0.7132295912987366$-0.009434841318389607,-1.0,-0.7037947499803471$-0.009721441742274616,-30.705303
0,-0.7223176844469187$-0.009088093148181998,-1.0,-0.7132295912987366$-0.009434841318389607,-30.618814
0,-0.7310021117934687$-0.008684427346550103,-1.0,-0.7223176844469187$-0.009088093148181998,-30.468405
0,-0.7392294580937124$-0.008227346300243691,-1.0,-0.7310021117934687$-0.008684427346550103,-30.311132
0,-0.7469500311534077$-0.007720573059695285,-1.0,-0.7392294580937124$-0.008227346300243691,-30.168528
2,-0.7521180338890627$-0.005168002735654949,-1.0,-0.7469500311534077$-0.007720573059695285,-30.024815
2,-0.7547032744633109$-0.0025852405742480874,-1.0,-0.7521180338890627$-0.005168002735654949,-29.976513
2,-0.754690792026959$1.2482436351902819e-05,-1.0,-0.7547032744633109$-0.0025852405742480874,-29.997452
2,-0.7520806585859947$0.0026101334409642366,-1.0,-0.754690792026959$1.2482436351902819e-05,-30.21957
2,-0.7468879799757182$0.005192678610276528,-1.0,-0.7520806585859947$0.0026101334409642366,-30.416437
1,-0.740143095830692$0.006744884145026179,-1.0,-0.7468879799757182$0.005192678610276528,-30.621027
2,-0.7308859762583272$0.009257119572364901,-1.0,-0.740143095830692$0.006744884145026179,-30.508709
2,-0.7191724835094566$0.011713492748870596,-1.0,-0.7308859762583272$0.009257119572364901,-30.4538
2,-0.7050749070470888$0.014097576462367893,-1.0,-0.7191724835094566$0.011713492748870596,-30.422558
2,-0.6886825075591083$0.016392399487980387,-1.0,-0.7050749070470888$0.014097576462367893,-30.482483
2,-0.6701019763691327$0.018580531189975647,-1.0,-0.6886825075591083$0.016392399487980387,-30.006912
2,-0.6494577058647988$0.020644270504333928,-1.0,-0.6701019763691327$0.018580531189975647,-29.508722
2,-0.6268917627756778$0.022565943089121007,-1.0,-0.6494577058647988$0.020644270504333928,-29.010666
2,-0.6025634612735244$0.02432830150215333,-1.0,-0.6268917627756778$0.022565943089121007,-28.529066
2,-0.5766484483604325$0.02591501291309195,-1.0,-0.6025634612735244$0.02432830150215333,-28.166924
2,-0.5493372403556815$0.027311208004750964,-1.0,-0.5766484483604325$0.02591501291309195,-28.029648
2,-0.5208331856309676$0.028504054724713918,-1.0,-0.5493372403556815$0.027311208004750964,-28.052162
2,-0.4913498725930429$0.029483313037924654,-1.0,-0.5208331856309676$0.028504054724713918,-28.179419
2,-0.46110804919502735$0.030241823398015552,-1.0,-0.4913498725930429$0.029483313037924654,-28.315975
2,-0.43033216570577737$0.030775883489249978,-1.0,-0.46110804919502735$0.030241823398015552,-28.464289
2,-0.39924669038715715$0.031085475318620222,-1.0,-0.43033216570577737$0.030775883489249978,-28.501127
2,-0.3680723729919424$0.031174317395214778,-1.0,-0.39924669038715715$0.031085475318620222,-28.44189
2,-0.33702264002598786$0.031049732965954546,-1.0,-0.3680723729919424$0.031174317395214778,-28.429691
2,-0.3063002972338723$0.030722342792115553,-1.0,-0.33702264002598786$0.031049732965954546,-28.578447
2,-0.2760946900489643$0.030205607184907998,-1.0,-0.3063002972338723$0.030722342792115553,-28.805954
2,-0.24657943537496158$0.02951525467400272,-1.0,-0.2760946900489643$0.030205607184907998,-28.946228
2,-0.21791079317710282$0.02866864219785875,-1.0,-0.24657943537496158$0.02951525467400272,-28.977987
1,-0.1912266996628974$0.026684093514205424,-1.0,-0.21791079317710282$0.02866864219785875,-29.101076
2,-0.16564237959696163$0.025584320065935768,-1.0,-0.1912266996628974$0.026684093514205424,-29.134024
2,-0.14125568859212403$0.02438669100483759,-1.0,-0.16564237959696163$0.025584320065935768,-29.073296
2,-0.11814786359923907$0.02310782499288496,-1.0,-0.14125568859212403$0.02438669100483759,-29.071312
0,-0.09838463797171326$0.019763225627525798,-1.0,-0.11814786359923907$0.02310782499288496,-28.998812
0,-0.08201330579938619$0.016371332172327068,-1.0,-0.09838463797171326$0.019763225627525798,-28.980455
0,-0.06906668503183172$0.012946620767554477,-1.0,-0.08201330579938619$0.016371332172327068,-28.891607
0,-0.05956659115544742$0.009500093876384298,-1.0,-0.06906668503183172$0.012946620767554477,-28.694424
0,-0.053526686379279736$0.006039904776167683,-1.0,-0.05956659115544742$0.009500093876384298,-28.528103
0,-0.050954618361396434$0.002572068017883306,-1.0,-0.053526686379279736$0.006039904776167683,-28.515572
0,-0.051853397979971454$-0.0008987796185750178,-1.0,-0.050954618361396434$0.002572068017883306,-28.619268
0,-0.0562219898309344$-0.004368591850962942,-1.0,-0.051853397979971454$-0.0008987796185750178,-28.75412
