action,newObservation,reward,observation,qValue
0,-0.4288005955365766$-0.001713768553606971,-1.0,-0.4270868269829696$0.0,-30.700912
0,-0.43221580499826034$-0.0034152094616837266,-1.0,-0.4288005955365766$-0.001713768553606971,-30.606153
0,-0.43730783378488997$-0.005092028786629648,-1.0,-0.43221580499826034$-0.0034152094616837266,-30.519192
2,-0.442039840318048$-0.004732006533158021,-1.0,-0.43730783378488997$-0.005092028786629648,-30.611628
0,-0.4483774537747282$-0.006337613456680236,-1.0,-0.442039840318048$-0.004732006533158021,-30.51265
0,-0.4562744510877437$-0.007896997313015495,-1.0,-0.4483774537747282$-0.006337613456680236,-30.46055
0,-0.4656729548714729$-0.009398503783729212,-1.0,-0.4562744510877437$-0.007896997313015495,-30.3877
0,-0.47650371901106936$-0.010830764139596454,-1.0,-0.4656729548714729$-0.009398503783729212,-30.33962
0,-0.4886865221374429$-0.012182803126373522,-1.0,-0.47650371901106936$-0.010830764139596454,-30.228449
0,-0.5021306887022136$-0.013444166564770616,-1.0,-0.4886865221374429$-0.012182803126373522,-29.992796
0,-0.5167357546322046$-0.014605065929991022,-1.0,-0.5021306887022136$-0.013444166564770616,-29.926023
2,-0.5303922895828935$-0.01365653495068898,-1.0,-0.5167357546322046$-0.014605065929991022,-29.987514
1,-0.5439978767058724$-0.013605587122978843,-1.0,-0.5303922895828935$-0.01365653495068898,-30.17118
0,-0.5584505660487591$-0.01445268934288672,-1.0,-0.5439978767058724$-0.013605587122978843,-30.17465
0,-0.5736423429451475$-0.01519177689638845,-1.0,-0.5584505660487591$-0.01445268934288672,-30.157837
0,-0.5894602014275502$-0.015817858482402643,-1.0,-0.5736423429451475$-0.01519177689638845,-30.150696
0,-0.6057873069486687$-0.016327105521118462,-1.0,-0.5894602014275502$-0.015817858482402643,-30.210636
0,-0.6225042252994625$-0.01671691835079384,-1.0,-0.6057873069486687$-0.016327105521118462,-30.289845
0,-0.6394901895813112$-0.016985964281848728,-1.0,-0.6225042252994625$-0.01671691835079384,-30.242933
0,-0.6566243735422029$-0.017134183960891742,-1.0,-0.6394901895813112$-0.016985964281848728,-30.154633
0,-0.6737871378848799$-0.017162764342676946,-1.0,-0.6566243735422029$-0.017134183960891742,-30.065516
1,-0.6898612164889011$-0.016074078604021193,-1.0,-0.6737871378848799$-0.017162764342676946,-30.123957
