action,newObservation,reward,observation,qValue
0,-0.4206364549266502$-0.0017726510238091446,-1.0,-0.41886380390284106$0.0,-30.787155
0,-0.42416910211111714$-0.0035326471844669208,-1.0,-0.4206364549266502$-0.0017726510238091446,-30.66169
0,-0.4294364623298672$-0.005267360218750093,-1.0,-0.42416910211111714$-0.0035326471844669208,-30.571735
0,-0.4364006847449014$-0.006964222415034173,-1.0,-0.4294364623298672$-0.005267360218750093,-30.47045
0,-0.44501145944381726$-0.008610774698915885,-1.0,-0.4364006847449014$-0.006964222415034173,-30.337816
0,-0.45520619395187933$-0.010194734508062082,-1.0,-0.44501145944381726$-0.008610774698915885,-30.208
2,-0.46491028140949997$-0.009704087457620608,-1.0,-0.45520619395187933$-0.010194734508062082,-30.337334
0,-0.476052261985937$-0.011141980576436998,-1.0,-0.46491028140949997$-0.009704087457620608,-30.30312
0,-0.4885496334150198$-0.012497371429082785,-1.0,-0.476052261985937$-0.011141980576436998,-30.162014
0,-0.5023093892998445$-0.01375975588482465,-1.0,-0.4885496334150198$-0.012497371429082785,-29.955896
0,-0.5172287070510158$-0.014919317751171245,-1.0,-0.5023093892998445$-0.01375975588482465,-29.88765
0,-0.5331957974084087$-0.015967090357392997,-1.0,-0.5172287070510158$-0.014919317751171245,-29.83986
0,-0.5500909200458333$-0.01689512263742455,-1.0,-0.5331957974084087$-0.015967090357392997,-29.812922
0,-0.5677875607060019$-0.01769664066016862,-1.0,-0.5500909200458333$-0.01689512263742455,-29.807056
0,-0.5861537553334858$-0.01836619462748394,-1.0,-0.5677875607060019$-0.01769664066016862,-29.80582
0,-0.6050535366044854$-0.018899781270999595,-1.0,-0.5861537553334858$-0.01836619462748394,-29.93053
0,-0.6243484690178714$-0.01929493241338605,-1.0,-0.6050535366044854$-0.018899781270999595,-29.958885
0,-0.6438992312165969$-0.01955076219872539,-1.0,-0.6243484690178714$-0.01929493241338605,-29.881233
0,-0.6635671992242408$-0.01966796800764393,-1.0,-0.6438992312165969$-0.01955076219872539,-29.789085
0,-0.6832159823440938$-0.01964878311985299,-1.0,-0.6635671992242408$-0.01966796800764393,-29.692585
0,-0.7027128648033095$-0.019496882459215804,-1.0,-0.6832159823440938$-0.01964878311985299,-29.435236
0,-0.7219301107165552$-0.019217245913245702,-1.0,-0.7027128648033095$-0.019496882459215804,-29.106712
0,-0.7407460971547204$-0.018815986438165143,-1.0,-0.7219301107165552$-0.019217245913245702,-28.780916
0,-0.759046249340688$-0.018300152185967533,-1.0,-0.7407460971547204$-0.018815986438165143,-28.483665
0,-0.7767237624045721$-0.01767751306388409,-1.0,-0.759046249340688$-0.018300152185967533,-28.227108
0,-0.7936801048200275$-0.01695634241545543,-1.0,-0.7767237624045721$-0.01767751306388409,-28.01074
1,-0.8088253087806757$-0.015145203960648234,-1.0,-0.7936801048200275$-0.01695634241545543,-27.9888
0,-0.8230829709721966$-0.014257662191520932,-1.0,-0.8088253087806757$-0.015145203960648234,-27.855173
0,-0.8363847229530035$-0.013301751980806848,-1.0,-0.8230829709721966$-0.014257662191520932,-27.831507
0,-0.8486700037165831$-0.012285280763579622,-1.0,-0.8363847229530035$-0.013301751980806848,-27.84284
0,-0.8598857300249052$-0.011215726308322165,-1.0,-0.8486700037165831$-0.012285280763579622,-27.867287
0,-0.8699858927501446$-0.01010016272523937,-1.0,-0.8598857300249052$-0.011215726308322165,-27.79181
1,-0.8779311070175508$-0.007945214267406275,-1.0,-0.8699858927501446$-0.01010016272523937,-27.801918
2,-0.8826917795118587$-0.004760672494307949,-1.0,-0.8779311070175508$-0.007945214267406275,-27.722519
2,-0.8842507718446297$-0.0015589923327709969,-1.0,-0.8826917795118587$-0.004760672494307949,-27.796957
