action,newObservation,reward,observation,qValue
0,-0.4499095812733797$-0.0015595845612591539,-1.0,-0.44834999671212056$0.0,-30.899652
1,-0.45201734420969686$-0.0021077629363171397,-1.0,-0.4499095812733797$-0.0015595845612591539,-30.948126
0,-0.4556578511529258$-0.0036405069432289524,-1.0,-0.45201734420969686$-0.0021077629363171397,-30.787296
0,-0.46080439420219577$-0.005146543049269985,-1.0,-0.4556578511529258$-0.0036405069432289524,-30.71511
0,-0.46741911447535095$-0.0066147202731552,-1.0,-0.46080439420219577$-0.005146543049269985,-30.658806
0,-0.47545319028170036$-0.008034075806349426,-1.0,-0.46741911447535095$-0.0066147202731552,-30.6188
0,-0.4848471037718153$-0.009393913490114933,-1.0,-0.47545319028170036$-0.008034075806349426,-30.574482
0,-0.49553100057075833$-0.010683896798943025,-1.0,-0.4848471037718153$-0.009393913490114933,-30.471142
0,-0.5074251570129086$-0.011894156442150229,-1.0,-0.49553100057075833$-0.010683896798943025,-30.203562
2,-0.5184405680036508$-0.011015410990742191,-1.0,-0.5074251570129086$-0.011894156442150229,-30.22916
0,-0.5304946640073653$-0.01205409600371458,-1.0,-0.5184405680036508$-0.011015410990742191,-30.307861
0,-0.5434970445370565$-0.013002380529691165,-1.0,-0.5304946640073653$-0.01205409600371458,-30.2656
0,-0.5573502766675207$-0.013853232130464209,-1.0,-0.5434970445370565$-0.013002380529691165,-30.239357
0,-0.5719508048637885$-0.014600528196267759,-1.0,-0.5573502766675207$-0.013853232130464209,-30.215748
0,-0.5871899632383335$-0.01523915837454507,-1.0,-0.5719508048637885$-0.014600528196267759,-30.185978
0,-0.6029550754117339$-0.015765112173400393,-1.0,-0.5871899632383335$-0.01523915837454507,-30.260767
0,-0.6191306215024545$-0.01617554609072062,-1.0,-0.6029550754117339$-0.015765112173400393,-30.328562
0,-0.6355994469203582$-0.016468825417903718,-1.0,-0.6191306215024545$-0.01617554609072062,-30.326994
0,-0.6522439840457913$-0.01664453712543313,-1.0,-0.6355994469203582$-0.016468825417903718,-30.240358
0,-0.6689474559003726$-0.016703471854581327,-1.0,-0.6522439840457913$-0.01664453712543313,-30.149776
0,-0.6855950307704525$-0.016647574870079875,-1.0,-0.6689474559003726$-0.016703471854581327,-30.067087
0,-0.7020748984717995$-0.016479867701347066,-1.0,-0.6855950307704525$-0.016647574870079875,-29.926277
0,-0.7182792424113326$-0.016204343939533124,-1.0,-0.7020748984717995$-0.016479867701347066,-29.63379
0,-0.7341050865191118$-0.0158258441077792,-1.0,-0.7182792424113326$-0.016204343939533124,-29.365849
0,-0.7494550020836381$-0.015349915564526365,-1.0,-0.7341050865191118$-0.0158258441077792,-29.122833
0,-0.7642376660510191$-0.014782663967380939,-1.0,-0.7494550020836381$-0.015349915564526365,-28.905685
