action,newObservation,reward,observation,qValue
2,-0.5027645022339241$0.0008502092883318968,-1.0,-0.503614711522256$0.0,-31.401337
0,-0.5030704482766648$-0.00030594604274073985,-1.0,-0.5027645022339241$0.0008502092883318968,-31.31416
0,-0.5045302594702814$-0.0014598111936166402,-1.0,-0.5030704482766648$-0.00030594604274073985,-31.291893
0,-0.5071330065460727$-0.002602747075791366,-1.0,-0.5045302594702814$-0.0014598111936166402,-31.273247
1,-0.5098591966733534$-0.0027261901272806932,-1.0,-0.5071330065460727$-0.002602747075791366,-31.35516
0,-0.5136884044658895$-0.003829207792535992,-1.0,-0.5098591966733534$-0.0027261901272806932,-31.25952
0,-0.5185919290921968$-0.004903524626307295,-1.0,-0.5136884044658895$-0.003829207792535992,-31.24609
0,-0.5245330036552811$-0.005941074563084337,-1.0,-0.5185919290921968$-0.004903524626307295,-31.03504
0,-0.531467071517111$-0.006934067861829964,-1.0,-0.5245330036552811$-0.005941074563084337,-30.813923
0,-0.5393421326395741$-0.007875061122463094,-1.0,-0.531467071517111$-0.006934067861829964,-30.74693
0,-0.5480991624773138$-0.00875702983773977,-1.0,-0.5393421326395741$-0.007875061122463094,-30.685204
0,-0.5576726048205187$-0.009573442343204848,-1.0,-0.5480991624773138$-0.00875702983773977,-30.629204
1,-0.5669909382687961$-0.009318333448277363,-1.0,-0.5576726048205187$-0.009573442343204848,-30.642706
0,-0.5769847488686066$-0.009993810599810474,-1.0,-0.5669909382687961$-0.009318333448277363,-30.604786
0,-0.5875798741999848$-0.010595125331378137,-1.0,-0.5769847488686066$-0.009993810599810474,-30.580303
0,-0.5986980823766556$-0.0111182081766708,-1.0,-0.5875798741999848$-0.010595125331378137,-30.677711
0,-0.610257798645293$-0.011559716268637353,-1.0,-0.5986980823766556$-0.0111182081766708,-30.780209
0,-0.6221748689347497$-0.011917070289456795,-1.0,-0.610257798645293$-0.011559716268637353,-30.813988
0,-0.634363347742126$-0.01218847880737631,-1.0,-0.6221748689347497$-0.011917070289456795,-30.85695
0,-0.6467362962321431$-0.012372948490017148,-1.0,-0.634363347742126$-0.01218847880737631,-30.79433
0,-0.6592065755096611$-0.012470279277518027,-1.0,-0.6467362962321431$-0.012372948490017148,-30.700996
2,-0.6696876197984423$-0.010481044288781168,-1.0,-0.6592065755096611$-0.012470279277518027,-30.710896
1,-0.6791077379162634$-0.009420118117821145,-1.0,-0.6696876197984423$-0.010481044288781168,-30.883928
2,-0.6864033884273839$-0.007295650511120518,-1.0,-0.6791077379162634$-0.009420118117821145,-30.92852
0,-0.693525974502728$-0.007122586075344093,-1.0,-0.6864033884273839$-0.007295650511120518,-31.024618
0,-0.700428594015641$-0.006902619512912927,-1.0,-0.693525974502728$-0.007122586075344093,-30.952484
2,-0.7050663245633396$-0.004637730547698619,-1.0,-0.700428594015641$-0.006902619512912927,-30.861237
2,-0.7074092871482909$-0.0023429625849512893,-1.0,-0.7050663245633396$-0.004637730547698619,-30.774313
2,-0.7074424819548972$-3.319480660637659e-05,-1.0,-0.7074092871482909$-0.0023429625849512893,-30.710123
2,-0.705165696930755$0.0022767850241421994,-1.0,-0.7074424819548972$-3.319480660637659e-05,-30.687126
2,-0.700593506450548$0.004572190480207093,-1.0,-0.705165696930755$0.0022767850241421994,-30.792185
2,-0.6937553603090263$0.006838146141521709,-1.0,-0.700593506450548$0.004572190480207093,-30.883625
2,-0.684695746246645$0.009059614062381352,-1.0,-0.6937553603090263$0.006838146141521709,-30.885756
2,-0.6734743929545042$0.011221353292140768,-1.0,-0.684695746246645$0.009059614062381352,-30.814102
2,-0.6601664659027051$0.013307927051799015,-1.0,-0.6734743929545042$0.011221353292140768,-30.452295
2,-0.6448626963744862$0.015303769528218932,-1.0,-0.6601664659027051$0.013307927051799015,-30.083961
2,-0.6276693758695437$0.017193320504942444,-1.0,-0.6448626963744862$0.015303769528218932,-29.71558
2,-0.608708144712831$0.018961231156712798,-1.0,-0.6276693758695437$0.017193320504942444,-29.34994
2,-0.5881155063249071$0.020592638387923943,-1.0,-0.608708144712831$0.018961231156712798,-29.003265
2,-0.5660420079338971$0.022073498391009888,-1.0,-0.5881155063249071$0.020592638387923943,-28.737816
2,-0.5426510447606507$0.023390963173246383,-1.0,-0.5660420079338971$0.022073498391009888,-28.704472
2,-0.518117267358317$0.024533777402333708,-1.0,-0.5426510447606507$0.023390963173246383,-28.75716
2,-0.492624599414905$0.025492667943412012,-1.0,-0.518117267358317$0.024533777402333708,-28.846188
2,-0.46636390362528685$0.026260695789618125,-1.0,-0.492624599414905$0.025492667943412012,-28.997574
2,-0.4395303632005157$0.02683354042477116,-1.0,-0.46636390362528685$0.026260695789618125,-29.342022
2,-0.41232067286989676$0.02720969033061892,-1.0,-0.4395303632005157$0.02683354042477116,-29.287483
2,-0.3849301526777368$0.027390520192159967,-1.0,-0.41232067286989676$0.02720969033061892,-29.230545
2,-0.35754990801853276$0.027380244659204005,-1.0,-0.3849301526777368$0.027390520192159967,-29.21215
2,-0.33036415887679504$0.02718574914173772,-1.0,-0.35754990801853276$0.027380244659204005,-29.140236
2,-0.3035478502212753$0.026816308655519757,-1.0,-0.33036415887679504$0.02718574914173772,-29.314957
2,-0.2772646354076916$0.02628321481358369,-1.0,-0.3035478502212753$0.026816308655519757,-29.369423
2,-0.251665297832093$0.025599337575598576,-1.0,-0.2772646354076916$0.02628321481358369,-29.444546
2,-0.22688664614978699$0.02477865168230604,-1.0,-0.251665297832093$0.025599337575598576,-29.446499
1,-0.2040508884293911$0.022835757720395884,-1.0,-0.22688664614978699$0.02477865168230604,-29.538261
0,-0.1842611630284734$0.019789725400917682,-1.0,-0.2040508884293911$0.022835757720395884,-29.638767
0,-0.16759910344541543$0.01666205958305797,-1.0,-0.1842611630284734$0.019789725400917682,-29.759789
0,-0.1541276389326308$0.013471464512784645,-1.0,-0.16759910344541543$0.01666205958305797,-29.621292
0,-0.143893654577602$0.010233984355028782,-1.0,-0.1541276389326308$0.013471464512784645,-29.480871
0,-0.1369303295253244$0.006963325052277586,-1.0,-0.143893654577602$0.010233984355028782,-29.31271
2,-0.13125901757434816$0.005671311950976244,-1.0,-0.1369303295253244$0.006963325052277586,-29.380724
0,-0.12889637180876118$0.002362645765586991,-1.0,-0.13125901757434816$0.005671311950976244,-29.224203
0,-0.12984913291346023$-0.0009527611046990648,-1.0,-0.12889637180876118$0.002362645765586991,-29.323956
0,-0.13411459661534475$-0.0042654637018845094,-1.0,-0.12984913291346023$-0.0009527611046990648,-29.429178
0,-0.1416804246927981$-0.0075658280774533355,-1.0,-0.13411459661534475$-0.0042654637018845094,-29.371248
2,-0.15052380705529586$-0.00884338236249776,-1.0,-0.1416804246927981$-0.0075658280774533355,-29.26415
0,-0.1626165956098472$-0.012092788554551344,-1.0,-0.15052380705529586$-0.00884338236249776,-29.012787
0,-0.17791774107469358$-0.015301145464846368,-1.0,-0.1626165956098472$-0.012092788554551344,-28.731718
0,-0.19637114558567556$-0.018453404510981975,-1.0,-0.17791774107469358$-0.015301145464846368,-28.469648
0,-0.21790313410093493$-0.021531988515259358,-1.0,-0.19637114558567556$-0.018453404510981975,-28.237791
0,-0.24241970623352688$-0.024516572132591945,-1.0,-0.21790313410093493$-0.021531988515259358,-28.04626
0,-0.2698037768949549$-0.027384070661428013,-1.0,-0.24241970623352688$-0.024516572132591945,-27.851803
0,-0.29991265925412175$-0.03010888235916686,-1.0,-0.2698037768949549$-0.027384070661428013,-27.737873
0,-0.3325760796032873$-0.0326634203491655,-1.0,-0.29991265925412175$-0.03010888235916686,-27.635653
0,-0.3675950312802717$-0.03501895167698446,-1.0,-0.3325760796032873$-0.0326634203491655,-27.407333
0,-0.4047417636304832$-0.037146732350211494,-1.0,-0.3675950312802717$-0.03501895167698446,-27.08518
0,-0.44376115351063306$-0.03901938988014985,-1.0,-0.4047417636304832$-0.037146732350211494,-26.304657
0,-0.48437361695764525$-0.04061246344701219,-1.0,-0.44376115351063306$-0.03901938988014985,-26.207863
0,-0.5262795906005606$-0.04190597364291538,-1.0,-0.48437361695764525$-0.04061246344701219,-26.227442
1,-0.5681654583477054$-0.0418858677471447,-1.0,-0.5262795906005606$-0.04190597364291538,-26.54628
1,-0.609718070910529$-0.04155261256282358,-1.0,-0.5681654583477054$-0.0418858677471447,-26.633146
0,-0.6516319502648079$-0.04191387935427888,-1.0,-0.609718070910529$-0.04155261256282358,-26.593813
0,-0.6936090185569568$-0.04197706829214884,-1.0,-0.6516319502648079$-0.04191387935427888,-25.669174
0,-0.7353655766863303$-0.04175655812937346,-1.0,-0.6936090185569568$-0.04197706829214884,-24.888256
0,-0.7766385864813217$-0.04127300979499139,-1.0,-0.7353655766863303$-0.04175655812937346,-24.39394
