action,newObservation,reward,observation,qValue
0,-0.5589717292260841$-0.0007407253335452703,-1.0,-0.5582310038925388$0.0,-31.22713
2,-0.5584476550550729$0.0005240741710111578,-1.0,-0.5589717292260841$-0.0007407253335452703,-31.0892
0,-0.5586626901508004$-0.00021503509572755764,-1.0,-0.5584476550550729$0.0005240741710111578,-31.326456
0,-0.5596152306101719$-0.0009525404593715437,-1.0,-0.5586626901508004$-0.00021503509572755764,-31.181196
2,-0.5592981729503007$0.0003170576598712282,-1.0,-0.5596152306101719$-0.0009525404593715437,-31.079865
0,-0.5597138813579525$-0.0004157084076518077,-1.0,-0.5592981729503007$0.0003170576598712282,-31.277908
0,-0.5608592560922997$-0.0011453747343471866,-1.0,-0.5597138813579525$-0.0004157084076518077,-31.131882
0,-0.5627257588258162$-0.0018665027335164623,-1.0,-0.5608592560922997$-0.0011453747343471866,-31.072365
0,-0.5652994825995564$-0.0025737237737402346,-1.0,-0.5627257588258162$-0.0018665027335164623,-31.032948
0,-0.568561266230905$-0.0032617836313485536,-1.0,-0.5652994825995564$-0.0025737237737402346,-30.995842
0,-0.5724868528474805$-0.003925586616575544,-1.0,-0.568561266230905$-0.0032617836313485536,-30.961323
0,-0.5770470919740676$-0.004560239126587137,-1.0,-0.5724868528474805$-0.003925586616575544,-30.929651
0,-0.5822081842498579$-0.0051610922757903445,-1.0,-0.5770470919740676$-0.004560239126587137,-30.901062
0,-0.5879319673909915$-0.005723783141133637,-1.0,-0.5822081842498579$-0.0051610922757903445,-30.876484
0,-0.5941762414404742$-0.006244274049482739,-1.0,-0.5879319673909915$-0.005723783141133637,-30.917597
0,-0.6008951306786541$-0.006718889238179855,-1.0,-0.5941762414404742$-0.006244274049482739,-30.966969
0,-0.608039478829314$-0.007144348150659947,-1.0,-0.6008951306786541$-0.006718889238179855,-31.024227
0,-0.6155572734263319$-0.007517794597017905,-1.0,-0.608039478829314$-0.007144348150659947,-31.088942
0,-0.6233940944489271$-0.007836821022595187,-1.0,-0.6155572734263319$-0.007517794597017905,-31.160633
0,-0.6314935816393387$-0.008099487190411536,-1.0,-0.6233940944489271$-0.007836821022595187,-31.199242
0,-0.6397979143353186$-0.008304332695979947,-1.0,-0.6314935816393387$-0.008099487190411536,-31.218082
0,-0.6482482972271303$-0.008450382891811643,-1.0,-0.6397979143353186$-0.008304332695979947,-31.214527
0,-0.6567854452228938$-0.008537147995763552,-1.0,-0.6482482972271303$-0.008450382891811643,-31.148441
0,-0.6653500606037487$-0.008564615380854833,-1.0,-0.6567854452228938$-0.008537147995763552,-31.088757
0,-0.6738832958840837$-0.00853323528033502,-1.0,-0.6653500606037487$-0.008564615380854833,-31.0358
0,-0.6823271962594987$-0.00844390037541497,-1.0,-0.6738832958840837$-0.00853323528033502,-30.989876
0,-0.6906251162085577$-0.00829791994905899,-1.0,-0.6823271962594987$-0.00844390037541497,-30.95121
0,-0.6987221056824459$-0.008096989473888138,-1.0,-0.6906251162085577$-0.00829791994905899,-30.919983
0,-0.7065652623268743$-0.00784315664442845,-1.0,-0.6987221056824459$-0.008096989473888138,-30.861687
0,-0.7141040472827911$-0.007538784955916706,-1.0,-0.7065652623268743$-0.00784315664442845,-30.821888
2,-0.7192905632525526$-0.0051865159697615446,-1.0,-0.7141040472827911$-0.007538784955916706,-30.777248
2,-0.7220922581046252$-0.002801694852072591,-1.0,-0.7192905632525526$-0.0051865159697615446,-30.682808
2,-0.7224916865274879$-0.0003994284228626289,-1.0,-0.7220922581046252$-0.002801694852072591,-30.601606
2,-0.7204863694401334$0.00200531708735436,-1.0,-0.7224916865274879$-0.0003994284228626289,-30.58171
2,-0.716088773270768$0.004397596169365385,-1.0,-0.7204863694401334$0.00200531708735436,-30.656673
2,-0.7093264122794711$0.006762360991296948,-1.0,-0.716088773270768$0.004397596169365385,-30.701439
2,-0.7002420580395$0.009084354239971119,-1.0,-0.7093264122794711$0.006762360991296948,-30.732029
