action,newObservation,reward,observation,qValue
0,-0.45343184818889354$-0.0015336167996912542,-1.0,-0.45189823138920227$0.0,-30.933128
1,-0.455487839124053$-0.002055990935159468,-1.0,-0.45343184818889354$-0.0015336167996912542,-30.979898
0,-0.4590511147951663$-0.0035632756711132946,-1.0,-0.455487839124053$-0.002055990935159468,-30.823223
1,-0.4630954781113197$-0.004044363316153362,-1.0,-0.4590511147951663$-0.0035632756711132946,-30.888277
0,-0.46859112859487884$-0.005495650483559153,-1.0,-0.4630954781113197$-0.004044363316153362,-30.756456
0,-0.4754974664793902$-0.006906337884511322,-1.0,-0.46859112859487884$-0.005495650483559153,-30.707195
0,-0.48376331343082696$-0.00826584695143678,-1.0,-0.4754974664793902$-0.006906337884511322,-30.677391
0,-0.4933272157047174$-0.009563902273890403,-1.0,-0.48376331343082696$-0.00826584695143678,-30.64703
1,-0.503117842732949$-0.009790627028231642,-1.0,-0.4933272157047174$-0.009563902273890403,-30.413465
0,-0.5140619801259427$-0.010944137392993665,-1.0,-0.503117842732949$-0.009790627028231642,-30.350842
0,-0.5260776337273984$-0.012015653601455584,-1.0,-0.5140619801259427$-0.010944137392993665,-30.288816
0,-0.5390746960642444$-0.012997062336846108,-1.0,-0.5260776337273984$-0.012015653601455584,-30.24263
0,-0.5529557306917515$-0.013881034627507114,-1.0,-0.5390746960642444$-0.012997062336846108,-30.212627
0,-0.5676168726788857$-0.014661141987134193,-1.0,-0.5529557306917515$-0.013881034627507114,-30.199043
0,-0.5829488376046057$-0.015331964925719989,-1.0,-0.5676168726788857$-0.014661141987134193,-30.15807
0,-0.5988380252249782$-0.0158891876203725,-1.0,-0.5829488376046057$-0.015331964925719989,-30.228905
0,-0.6151676979403953$-0.016329672715417076,-1.0,-0.5988380252249782$-0.0158891876203725,-30.284504
0,-0.6318192088796051$-0.01665151093920977,-1.0,-0.6151676979403953$-0.016329672715417076,-30.31682
0,-0.6486732503235674$-0.016854041443962294,-1.0,-0.6318192088796051$-0.01665151093920977,-30.225924
0,-0.6656110907229272$-0.016937840399359888,-1.0,-0.6486732503235674$-0.016854041443962294,-30.13569
0,-0.6825157679790407$-0.01690467725611345,-1.0,-0.6656110907229272$-0.016937840399359888,-30.055399
